"","seqnames","start","end","width","strand","peakNames","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_name","symbol"
"52","chr1",24100275,24100675,401,"*","chr1_24100275_24100675","X168","ENSMUSG00000102398",24100625,24103424,2800,"+",0,"overlapStart",0,"RP23-255J24.2",NA
"53","chr1",24678379,24678779,401,"*","chr1_24678379_24678779","X173","ENSMUSG00000073725",24678630,24766301,87672,"+",0,"overlapStart",0,"Lmbrd1","Lmbrd1"
"54","chr1",30873803,30874203,401,"*","chr1_30873803_30874203","X181","ENSMUSG00000048874",30802339,30873921,71583,"-",0,"overlapStart",0,"Phf3","Phf3"
"55","chr1",30949754,30950154,401,"*","chr1_30949754_30950154","X184","ENSMUSG00000026064",30940302,30949770,9469,"-",0,"overlapStart",0,"Ptp4a1","Ptp4a1"
"56","chr1",33670199,33670599,401,"*","chr1_33670199_33670599","X192","ENSMUSG00000026134",33453810,33669795,215986,"-",403,"upstream",403,"Prim2","Prim2"
"57","chr1",33719717,33720117,401,"*","chr1_33719717_33720117","X193","ENSMUSG00000004768",33719887,33742564,22678,"+",0,"overlapStart",0,"Rab23","Rab23"
"58","chr1",33757611,33758011,401,"*","chr1_33757611_33758011","X196","ENSMUSG00000042215",33745484,33757795,12312,"-",0,"overlapStart",0,"Bag2","Bag2"
"59","chr1",33814352,33814752,401,"*","chr1_33814352_33814752","X198","ENSMUSG00000042197",33761545,33814595,53051,"-",0,"overlapStart",0,"Zfp451","Zfp451"
"60","chr1",34236357,34236757,401,"*","chr1_34236357_34236757","X212","ENSMUSG00000104475",34236596,34238820,2225,"+",0,"overlapStart",0,"RP24-422C24.2",NA
"61","chr1",34433184,34433584,401,"*","chr1_34433184_34433584","X214","ENSMUSG00000102336",34427002,34433264,6263,"-",0,"overlapStart",0,"mmu-mir-5103",NA
"62","chr1",34433184,34433584,401,"*","chr1_34433184_34433584","X214","ENSMUSG00000092852",34433121,34433199,79,"-",0,"overlapStart",0,"Mir5103","Mir5103"
"63","chr1",34434753,34435153,401,"*","chr1_34434753_34435153","X215","ENSMUSG00000102336",34427002,34433264,6263,"-",1488,"upstream",1488,"mmu-mir-5103",NA
"64","chr1",34439532,34439932,401,"*","chr1_34439532_34439932","X216","ENSMUSG00000042111",34436670,34439672,3003,"-",0,"overlapStart",0,"Ccdc115","Ccdc115"
"65","chr1",34439532,34439932,401,"*","chr1_34439532_34439932","X216","ENSMUSG00000026127",34439851,34449356,9506,"+",0,"overlapStart",0,"Imp4","Imp4"
"66","chr1",34459524,34459924,401,"*","chr1_34459524_34459924","X217","ENSMUSG00000026126",34459762,34475733,15972,"+",0,"overlapStart",0,"Ptpn18","Ptpn18"
"67","chr1",34485734,34486134,401,"*","chr1_34485734_34486134","X222","ENSMUSG00000101223",34477167,34485933,8767,"-",0,"overlapStart",0,"4930568A12Rik",NA
"68","chr1",34821425,34821825,401,"*","chr1_34821425_34821825","X227","ENSMUSG00000104358",34823525,34826560,3036,"+",1699,"upstream",1699,"RP23-348C6.1",NA
"69","chr1",34823360,34823760,401,"*","chr1_34823360_34823760","X228","ENSMUSG00000104358",34823525,34826560,3036,"+",0,"overlapStart",0,"RP23-348C6.1",NA
"70","chr1",34842861,34843261,401,"*","chr1_34842861_34843261","X232","ENSMUSG00000037503",34813219,34843065,29847,"-",0,"overlapStart",0,"Fam168b","Fam168b"
"71","chr1",34849802,34850202,401,"*","chr1_34849802_34850202","X233","ENSMUSG00000026123",34849976,34879580,29605,"+",0,"overlapStart",0,"Plekhb2","Plekhb2"
"72","chr1",35759712,35760112,401,"*","chr1_35759712_35760112","X236","ENSMUSG00000064601",35761602,35761706,105,"+",1489,"upstream",1489,"Gm25634","Gm25634"
"73","chr1",36068096,36068496,401,"*","chr1_36068096_36068496","X244","ENSMUSG00000045216",36068400,36106446,38047,"+",0,"overlapStart",0,"Hs6st1","Hs6st1"
"74","chr1",36130272,36130672,401,"*","chr1_36130272_36130672","X247","ENSMUSG00000102202",36132042,36138746,6705,"+",1369,"upstream",1369,"RP23-173H19.3",NA
"75","chr1",36368850,36369250,401,"*","chr1_36368850_36369250","X260","ENSMUSG00000010453",36335730,36369181,33452,"-",0,"overlapStart",0,"Kansl3","Kansl3"
"76","chr1",36445147,36445547,401,"*","chr1_36445147_36445547","X262","ENSMUSG00000001143",36419871,36445271,25401,"-",0,"overlapStart",0,"Lman2l","Lman2l"
"77","chr1",36446329,36446729,401,"*","chr1_36446329_36446729","X263","ENSMUSG00000001143",36419871,36445271,25401,"-",1057,"upstream",1057,"Lman2l","Lman2l"
"78","chr1",36471267,36471667,401,"*","chr1_36471267_36471667","X264","ENSMUSG00000037408",36471620,36508764,37145,"+",0,"overlapStart",0,"Cnnm4","Cnnm4"
"79","chr1",36511595,36511995,401,"*","chr1_36511595_36511995","X266","ENSMUSG00000001138",36511867,36528237,16371,"+",0,"overlapStart",0,"Cnnm3","Cnnm3"
"80","chr1",36547114,36547514,401,"*","chr1_36547114_36547514","X267","ENSMUSG00000079610",36537507,36547445,9939,"-",0,"overlapStart",0,"Ankrd39","Ankrd39"
"81","chr1",36556560,36556960,401,"*","chr1_36556560_36556960","X268","ENSMUSG00000087589",36557701,36565613,7913,"+",740,"upstream",740,"D430040D24Rik",NA
"82","chr1",36684098,36684498,401,"*","chr1_36684098_36684498","X271","ENSMUSG00000046337",36562692,36683183,120492,"-",914,"upstream",914,"Fam178b","Fam178b"
"83","chr1",36691254,36691654,401,"*","chr1_36691254_36691654","X272","ENSMUSG00000061518",36691484,36693681,2198,"+",0,"overlapStart",0,"Cox5b","Cox5b"
"84","chr1",36709855,36710255,401,"*","chr1_36709855_36710255","X273","ENSMUSG00000102416",36710203,36746571,36369,"+",0,"overlapStart",0,"RP23-247A1.6","4933424G06Rik"
"85","chr1",36927606,36928006,401,"*","chr1_36927606_36928006","X278","ENSMUSG00000103159",36922797,36926348,3552,"-",1257,"upstream",1257,"RP23-328J8.3",NA
"86","chr1",37299799,37300199,401,"*","chr1_37299799_37300199","X285","ENSMUSG00000102231",37299352,37299697,346,"-",101,"upstream",101,"RP23-271C13.1",NA
"87","chr1",37299799,37300199,401,"*","chr1_37299799_37300199","X285","ENSMUSG00000026113",37299865,37410736,110872,"+",0,"overlapStart",0,"Inpp4a","Inpp4a"
"88","chr1",37429913,37430313,401,"*","chr1_37429913_37430313","X288","ENSMUSG00000026112",37417084,37430103,13020,"-",0,"overlapStart",0,"Coa5","Coa5"
"89","chr1",37429913,37430313,401,"*","chr1_37429913_37430313","X288","ENSMUSG00000026111",37430139,37439124,8986,"+",0,"overlapStart",0,"Unc50","Unc50"
"90","chr1",37540951,37541351,401,"*","chr1_37540951_37541351","X293","ENSMUSG00000026110",37439340,37541016,101677,"-",0,"overlapStart",0,"Mgat4a","Mgat4a"
"91","chr1",37864955,37865355,401,"*","chr1_37864955_37865355","X299","ENSMUSG00000097268",37865299,37871388,6090,"+",0,"overlapStart",0,"Gm26805",NA
"92","chr1",37890213,37890613,401,"*","chr1_37890213_37890613","X301","ENSMUSG00000026088",37874801,37890411,15611,"-",0,"overlapStart",0,"Mitd1","Mitd1"
"93","chr1",37890213,37890613,401,"*","chr1_37890213_37890613","X301","ENSMUSG00000026087",37890477,37898535,8059,"+",0,"overlapStart",0,"Mrpl30","Mrpl30"
"94","chr1",37997100,37997500,401,"*","chr1_37997100_37997500","X303","ENSMUSG00000026083",37998010,38055579,57570,"+",509,"upstream",509,"Eif5b","Eif5b"
"95","chr1",38129864,38130264,401,"*","chr1_38129864_38130264","X308","ENSMUSG00000026082",38052786,38129801,77016,"-",62,"upstream",62,"Rev1","Rev1"
"96","chr1",38129864,38130264,401,"*","chr1_38129864_38130264","X308","ENSMUSG00000102716",38132083,38159892,27810,"+",1818,"upstream",1818,"RP23-195A24.5","Gm5099"
"97","chr1",39313648,39314048,401,"*","chr1_39313648_39314048","X319","ENSMUSG00000092563",39314899,39315453,555,"+",850,"upstream",850,"Gm3617","Gm3617"
"98","chr1",39367596,39367996,401,"*","chr1_39367596_39367996","X321","ENSMUSG00000073702",39367842,39371911,4070,"+",0,"overlapStart",0,"Rpl31","Rpl31"
"99","chr1",39478563,39478963,401,"*","chr1_39478563_39478963","X325","ENSMUSG00000003134",39371492,39478755,107264,"-",0,"overlapStart",0,"Tbc1d8","Tbc1d8"
"100","chr1",39548610,39549010,401,"*","chr1_39548610_39549010","X331","ENSMUSG00000077704",39548745,39548854,110,"-",0,"includeFeature",0,"Snord89","Snord89"
"101","chr1",39577378,39577778,401,"*","chr1_39577378_39577778","X332","ENSMUSG00000048234",39551296,39577405,26110,"-",0,"overlapStart",0,"Rnf149","Rnf149"
"102","chr1",39578468,39578868,401,"*","chr1_39578468_39578868","X333","ENSMUSG00000048234",39551296,39577405,26110,"-",1062,"upstream",1062,"Rnf149","Rnf149"
"103","chr1",39579160,39579560,401,"*","chr1_39579160_39579560","X334","ENSMUSG00000048234",39551296,39577405,26110,"-",1754,"upstream",1754,"Rnf149","Rnf149"
"104","chr1",39649997,39650397,401,"*","chr1_39649997_39650397","X340","ENSMUSG00000097083",39650176,39657390,7215,"+",0,"overlapStart",0,"D930019O06Rik",NA
"105","chr1",39847045,39847445,401,"*","chr1_39847045_39847445","X347","ENSMUSG00000101634",39839175,39847334,8160,"-",0,"overlapStart",0,"1700066B17Rik","1700066B17Rik"
"106","chr1",39900544,39900944,401,"*","chr1_39900544_39900944","X350","ENSMUSG00000026074",39900913,40026310,125398,"+",0,"overlapStart",0,"Map4k4","Map4k4"
"107","chr1",40087437,40087837,401,"*","chr1_40087437_40087837","X361","ENSMUSG00000097899",40076228,40085851,9624,"-",1585,"upstream",1585,"Gm16894","Gm16894"
"108","chr1",40087437,40087837,401,"*","chr1_40087437_40087837","X361","ENSMUSG00000102975",40088511,40091581,3071,"+",673,"upstream",673,"RP24-127D13.2",NA
"109","chr1",40224796,40225196,401,"*","chr1_40224796_40225196","X365","ENSMUSG00000026072",40225080,40317257,92178,"+",0,"overlapStart",0,"Il1r1","Il1r1"
"110","chr1",40515134,40515534,401,"*","chr1_40515134_40515534","X385","ENSMUSG00000026068",40515362,40551705,36344,"+",0,"overlapStart",0,"Il18rap","Il18rap"
"111","chr1",40790543,40790943,401,"*","chr1_40790543_40790943","X387","ENSMUSG00000041945",40772038,40790687,18650,"-",0,"overlapStart",0,"Mfsd9","Mfsd9"
"112","chr1",42851003,42851403,401,"*","chr1_42851003_42851403","X389","ENSMUSG00000060679",42851233,42905682,54450,"+",0,"overlapStart",0,"Mrps9","Mrps9"
"113","chr1",43092525,43092925,401,"*","chr1_43092525_43092925","X391","ENSMUSG00000041878",43092588,43093835,1248,"+",0,"overlapStart",0,"8430432A02Rik",NA
"114","chr1",43098354,43098754,401,"*","chr1_43098354_43098754","X392","ENSMUSG00000070939",43047200,43098637,51438,"-",0,"overlapStart",0,"Tgfbrap1","Tgfbrap1"
"115","chr1",43098354,43098754,401,"*","chr1_43098354_43098754","X392","ENSMUSG00000010290",43098710,43115947,17238,"+",0,"overlapStart",0,"AI597479","AI597479"
"116","chr1",43302772,43303172,401,"*","chr1_43302772_43303172","X395","ENSMUSG00000099576",43250156,43302925,52770,"-",0,"overlapStart",0,"Gm29040",NA
"117","chr1",43827831,43828231,401,"*","chr1_43827831_43828231","X407","ENSMUSG00000057363",43746966,43827800,80835,"-",30,"upstream",30,"Uxs1","Uxs1"
"118","chr1",44102292,44102692,401,"*","chr1_44102292_44102692","X415","ENSMUSG00000026049",44086613,44102441,15829,"-",0,"overlapStart",0,"Tex30","Tex30"
"119","chr1",44118688,44119088,401,"*","chr1_44118688_44119088","X416","ENSMUSG00000026047",44106546,44118808,12263,"-",0,"overlapStart",0,"Kdelc1","Poglut2"
"120","chr1",44118688,44119088,401,"*","chr1_44118688_44119088","X416","ENSMUSG00000041684",44118957,44144770,25814,"+",0,"overlapStart",0,"Bivm","Bivm"
"121","chr1",44147652,44148052,401,"*","chr1_44147652_44148052","X417","ENSMUSG00000026048",44147744,44181260,33517,"+",0,"overlapStart",0,"Ercc5","Ercc5"
"122","chr1",45858050,45858450,401,"*","chr1_45858050_45858450","X420","ENSMUSG00000084817",45857332,45857754,423,"-",295,"upstream",295,"Gm5526",NA
"123","chr1",46894456,46894856,401,"*","chr1_46894456_46894856","X435","ENSMUSG00000025986",46807544,46892852,85309,"-",1603,"upstream",1603,"Slc39a10","Slc39a10"
"124","chr1",51333898,51334298,401,"*","chr1_51333898_51334298","X438","ENSMUSG00000101799",51218386,51333779,115394,"-",118,"upstream",118,"9330175M20Rik","9330175M20Rik"
"125","chr1",51478332,51478732,401,"*","chr1_51478332_51478732","X439","ENSMUSG00000026107",51465862,51478425,12564,"-",0,"overlapStart",0,"Nabp1","Nabp1"
"126","chr1",51480414,51480814,401,"*","chr1_51480414_51480814","X440","ENSMUSG00000026107",51465862,51478425,12564,"-",1988,"upstream",1988,"Nabp1","Nabp1"
"127","chr1",51529661,51530061,401,"*","chr1_51529661_51530061","X446","ENSMUSG00000103424",51527005,51529369,2365,"-",291,"upstream",291,"RP23-273G4.2",NA
"128","chr1",51747450,51747850,401,"*","chr1_51747450_51747850","X450","ENSMUSG00000101741",51696324,51746943,50620,"-",506,"upstream",506,"Gm28055",NA
"129","chr1",52119156,52119556,401,"*","chr1_52119156_52119556","X463","ENSMUSG00000026104",52119440,52161865,42426,"+",0,"overlapStart",0,"Stat1","Stat1"
"130","chr1",52233136,52233536,401,"*","chr1_52233136_52233536","X469","ENSMUSG00000026103",52163448,52233232,69785,"-",0,"overlapStart",0,"Gls","Gls"
"131","chr1",52501536,52501936,401,"*","chr1_52501536_52501936","X473","ENSMUSG00000002881",52457294,52500679,43386,"-",856,"upstream",856,"Nab1","Nab1"
"132","chr1",52630481,52630881,401,"*","chr1_52630481_52630881","X477","ENSMUSG00000043015",52630703,52651919,21217,"+",0,"overlapStart",0,"Tmem194b","Nemp2"
"133","chr1",52754371,52754771,401,"*","chr1_52754371_52754771","X486","ENSMUSG00000100230",52756719,52757129,411,"+",1947,"upstream",1947,"Gm28650",NA
"134","chr1",52844752,52845152,401,"*","chr1_52844752_52845152","X493","ENSMUSG00000041426",52844929,52920986,76058,"+",0,"overlapStart",0,"Hibch","Hibch"
"135","chr1",53296844,53297244,401,"*","chr1_53296844_53297244","X496","ENSMUSG00000026098",53189187,53297018,107832,"-",0,"overlapStart",0,"Pms1","Pms1"
"136","chr1",53296844,53297244,401,"*","chr1_53296844_53297244","X496","ENSMUSG00000026097",53297095,53310309,13215,"+",0,"overlapStart",0,"Ormdl1","Ormdl1"
"137","chr1",53296844,53297244,401,"*","chr1_53296844_53297244","X496","ENSMUSG00000100679",53297111,53318035,20925,"+",0,"overlapStart",0,"Gm28778",NA
"138","chr1",53313496,53313896,401,"*","chr1_53313496_53313896","X497","ENSMUSG00000026096",53313624,53326343,12720,"+",0,"overlapStart",0,"Osgepl1","Osgepl1"
"139","chr1",53352534,53352934,401,"*","chr1_53352534_53352934","X498","ENSMUSG00000099913",53325507,53352667,27161,"-",0,"overlapStart",0,"Gm28551",NA
"140","chr1",53352534,53352934,401,"*","chr1_53352534_53352934","X498","ENSMUSG00000026095",53344617,53352752,8136,"-",0,"overlapStart",0,"Asnsd1","Asnsd1"
"141","chr1",53785021,53785421,401,"*","chr1_53785021_53785421","X503","ENSMUSG00000026094",53755506,53785224,29719,"-",0,"overlapStart",0,"Stk17b","Stk17b"
"142","chr1",53848115,53848515,401,"*","chr1_53848115_53848515","X509","ENSMUSG00000098443",53849424,53849495,72,"+",908,"upstream",908,"Mir7681","Mir7681"
"143","chr1",54250492,54250892,401,"*","chr1_54250492_54250892","X519","ENSMUSG00000094013",54249102,54249208,107,"-",1283,"upstream",1283,"Gm25829","Gm25829"
"144","chr1",54250492,54250892,401,"*","chr1_54250492_54250892","X519","ENSMUSG00000025983",54250683,54368727,118045,"+",0,"overlapStart",0,"Ccdc150","Ccdc150"
"145","chr1",54438786,54439186,401,"*","chr1_54438786_54439186","X520","ENSMUSG00000041303",54396004,54438971,42968,"-",0,"overlapStart",0,"Gtf3c3","Gtf3c3"
"146","chr1",54557502,54557902,401,"*","chr1_54557502_54557902","X525","ENSMUSG00000073678",54472994,54557684,84691,"-",0,"overlapStart",0,"Pgap1","Pgap1"
"147","chr1",54926231,54926631,401,"*","chr1_54926231_54926631","X543","ENSMUSG00000052331",54645340,54926387,281048,"-",0,"overlapStart",0,"Ankrd44","Ankrd44"
"148","chr1",55027310,55027710,401,"*","chr1_55027310_55027710","X546","ENSMUSG00000025982",54985169,55027481,42313,"-",0,"overlapStart",0,"Sf3b1","Sf3b1"
"149","chr1",55028816,55029216,401,"*","chr1_55028816_55029216","X547","ENSMUSG00000025982",54985169,55027481,42313,"-",1334,"upstream",1334,"Sf3b1","Sf3b1"
"150","chr1",55052557,55052957,401,"*","chr1_55052557_55052957","X548","ENSMUSG00000025981",55052770,55072702,19933,"+",0,"overlapStart",0,"Coq10b","Coq10b"
"151","chr1",55087940,55088340,401,"*","chr1_55087940_55088340","X549","ENSMUSG00000025980",55077835,55088243,10409,"-",0,"overlapStart",0,"Hspd1","Hspd1"
"152","chr1",55087940,55088340,401,"*","chr1_55087940_55088340","X549","ENSMUSG00000073676",55088132,55091307,3176,"+",0,"overlapStart",0,"Hspe1","Hspe1"
"153","chr1",55130962,55131362,401,"*","chr1_55130962_55131362","X550","ENSMUSG00000025979",55131231,55154899,23669,"+",0,"overlapStart",0,"Mob4","Mob4"
"154","chr1",55236935,55237335,401,"*","chr1_55236935_55237335","X553","ENSMUSG00000046994",55237177,55248470,11294,"+",0,"overlapStart",0,"Mars2","Mars2"
"155","chr1",55363301,55363701,401,"*","chr1_55363301_55363701","X554","ENSMUSG00000025977",55248658,55363469,114812,"-",0,"overlapStart",0,"Boll","Boll"
"156","chr1",55405616,55406016,401,"*","chr1_55405616_55406016","X555","ENSMUSG00000038349",55405921,55754285,348365,"+",0,"overlapStart",0,"Plcl1","Plcl1"
"157","chr1",57377368,57377768,401,"*","chr1_57377368_57377768","X575","ENSMUSG00000097519",57359222,57377544,18323,"-",0,"overlapStart",0,"4930558J18Rik","4930558J18Rik"
"158","chr1",57377368,57377768,401,"*","chr1_57377368_57377768","X575","ENSMUSG00000038323",57377620,57385423,7804,"+",0,"overlapStart",0,"1700066M21Rik","1700066M21Rik"
"159","chr1",57406313,57406713,401,"*","chr1_57406313_57406713","X577","ENSMUSG00000025971",57406328,57417953,11626,"+",0,"overlapStart",0,"9430016H08Rik","Maip1"
"160","chr1",57995739,57996139,401,"*","chr1_57995739_57996139","X582","ENSMUSG00000026039",57995971,58025899,29929,"+",0,"overlapStart",0,"Sgol2","Sgo2a"
"161","chr1",58029532,58029932,401,"*","chr1_58029532_58029932","X583","ENSMUSG00000063558",58029931,58106413,76483,"+",0,"overlapStart",0,"Aox1","Aox1"
