"","seqnames","start","end","width","strand","mcols.peakNames","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_name","entrez_id"
"31","chr1",24595026,24595426,401,"*","chr1_24595026_24595426","X626","ENSMUSG00000099997",24594087,24595423,1337,"-",0,"overlapStart",0,"Tubb4b-ps2","665829"
"32","chr1",30720105,30720505,401,"*","chr1_30720105_30720505","X721","ENSMUSG00000053185",30718560,30719962,1403,"-",142,"upstream",142,"Gm9898",NA
"33","chr1",31557564,31557964,401,"*","chr1_31557564_31557964","X749","ENSMUSG00000101093",31559540,31561400,1861,"+",1575,"upstream",1575,"RP24-342F15.1",NA
"34","chr1",31734398,31734798,401,"*","chr1_31734398_31734798","X754","ENSMUSG00000082159",31736057,31736891,835,"+",1258,"upstream",1258,"Gm7910",NA
"35","chr1",32972344,32972744,401,"*","chr1_32972344_32972744","X769","ENSMUSG00000102926",32967484,32972490,5007,"-",0,"overlapStart",0,"RP23-144E24.1",NA
"36","chr1",33480264,33480664,401,"*","chr1_33480264_33480664","X786","ENSMUSG00000101682",33482101,33482518,418,"+",1436,"upstream",1436,"Gm29228",NA
"37","chr1",34178305,34178705,401,"*","chr1_34178305_34178705","X816","ENSMUSG00000096992",34165856,34178446,12591,"-",0,"overlapStart",0,"Gm26788",NA
"38","chr1",34179509,34179909,401,"*","chr1_34179509_34179909","X817","ENSMUSG00000096992",34165856,34178446,12591,"-",1062,"upstream",1062,"Gm26788",NA
"39","chr1",34330222,34330622,401,"*","chr1_34330222_34330622","X824","ENSMUSG00000104397",34329433,34330307,875,"-",0,"overlapStart",0,"RP24-152H15.5",NA
"40","chr1",34560584,34560984,401,"*","chr1_34560584_34560984","X838","ENSMUSG00000037529",34543968,34560943,16976,"-",0,"overlapStart",0,"Prss40","21756"
"41","chr1",34636150,34636550,401,"*","chr1_34636150_34636550","X843","ENSMUSG00000104098",34635544,34636189,646,"-",0,"overlapStart",0,"RP24-70I14.4",NA
"42","chr1",35987298,35987698,401,"*","chr1_35987298_35987698","X911","ENSMUSG00000102279",35981960,35986373,4414,"-",924,"upstream",924,"RP24-424K5.3",NA
"43","chr1",36348660,36349060,401,"*","chr1_36348660_36349060","X927","ENSMUSG00000098680",36348682,36348758,77,"-",0,"includeFeature",0,"Mir6898","102465541"
"44","chr1",36714626,36715026,401,"*","chr1_36714626_36715026","X948","ENSMUSG00000037351",36698114,36714422,16309,"-",203,"upstream",203,"Actr1b","226977"
"45","chr1",36761664,36762064,401,"*","chr1_36761664_36762064","X950","ENSMUSG00000026117",36761798,36782818,21021,"+",0,"overlapStart",0,"Zap70","22637"
"46","chr1",36958377,36958777,401,"*","chr1_36958377_36958777","X952","ENSMUSG00000080054",36957930,36958427,498,"-",0,"overlapStart",0,"Rpl12-ps1",NA
"47","chr1",37429525,37429925,401,"*","chr1_37429525_37429925","X972","ENSMUSG00000026111",37430139,37439124,8986,"+",213,"upstream",213,"Unc50","67387"
"48","chr1",37488615,37489015,401,"*","chr1_37488615_37489015","X974","ENSMUSG00000103948",37485851,37488605,2755,"-",9,"upstream",9,"RP23-285H9.2","77633"
"49","chr1",37488615,37489015,401,"*","chr1_37488615_37489015","X974","ENSMUSG00000087233",37487193,37488982,1790,"-",0,"overlapStart",0,"4930594C11Rik",NA
"50","chr1",37973238,37973638,401,"*","chr1_37973238_37973638","X996","ENSMUSG00000089141",37973967,37974203,237,"+",328,"upstream",328,"Gm23409",NA
"51","chr1",38384124,38384524,401,"*","chr1_38384124_38384524","X1014","ENSMUSG00000087131",38384949,38393974,9026,"+",424,"upstream",424,"Gm16152",NA
"52","chr1",38664658,38665058,401,"*","chr1_38664658_38665058","X1026","ENSMUSG00000037138",38177326,38664955,487630,"-",0,"overlapStart",0,"Aff3","16764"
"53","chr1",39532952,39533352,401,"*","chr1_39532952_39533352","X1051","ENSMUSG00000003135",39534992,39546889,11898,"+",1639,"upstream",1639,"Cnot11","52846"
"54","chr1",39597657,39598057,401,"*","chr1_39597657_39598057","X1053","ENSMUSG00000102471",39597417,39598005,589,"-",0,"overlapStart",0,"RP24-505E24.2",NA
"55","chr1",39720688,39721088,401,"*","chr1_39720688_39721088","X1056","ENSMUSG00000057173",39665301,39720997,55697,"-",0,"overlapStart",0,"Rfx8","619289"
"56","chr1",40073084,40073484,401,"*","chr1_40073084_40073484","X1069","ENSMUSG00000026073",40074079,40125231,51153,"+",594,"upstream",594,"Il1r2","16178"
"57","chr1",40223270,40223670,401,"*","chr1_40223270_40223670","X1077","ENSMUSG00000026072",40225080,40317257,92178,"+",1409,"upstream",1409,"Il1r1","16177"
"58","chr1",40465468,40465868,401,"*","chr1_40465468_40465868","X1094","ENSMUSG00000026070",40465552,40500854,35303,"+",0,"overlapStart",0,"Il18r1","16182"
"59","chr1",40804141,40804541,401,"*","chr1_40804141_40804541","X1110","ENSMUSG00000079588",40805601,40856887,51287,"+",1059,"upstream",1059,"Tmem182","381339"
"60","chr1",41182583,41182983,401,"*","chr1_41182583_41182983","X1131","ENSMUSG00000104072",41167587,41181252,13666,"-",1330,"upstream",1330,"RP24-532K6.1","74897"
"61","chr1",42491254,42491654,401,"*","chr1_42491254_42491654","X1155","ENSMUSG00000103106",42491813,42495663,3851,"+",158,"upstream",158,"RP23-480H8.1",NA
"62","chr1",42950911,42951311,401,"*","chr1_42950911_42951311","X1178","ENSMUSG00000041907",42952872,43035456,82585,"+",1560,"upstream",1560,"Gpr45","93690"
"63","chr1",43196672,43197072,401,"*","chr1_43196672_43197072","X1189","ENSMUSG00000008136",43123074,43196984,73911,"-",0,"overlapStart",0,"Fhl2","14200"
"64","chr1",43730529,43730929,401,"*","chr1_43730529_43730929","X1203","ENSMUSG00000026051",43730602,43742578,11977,"+",0,"overlapStart",0,"1500015O10Rik","78896"
"65","chr1",44147552,44147952,401,"*","chr1_44147552_44147952","X1214","ENSMUSG00000026048",44147744,44181260,33517,"+",0,"overlapStart",0,"Ercc5","22592"
"66","chr1",44550178,44550578,401,"*","chr1_44550178_44550578","X1230","ENSMUSG00000056870",44551511,44796838,245328,"+",932,"upstream",932,"Gulp1","70676"
"67","chr1",44560512,44560912,401,"*","chr1_44560512_44560912","X1232","ENSMUSG00000102319",44560885,44565447,4563,"+",0,"overlapStart",0,"RP23-68D4.1",NA
"68","chr1",45520398,45520798,401,"*","chr1_45520398_45520798","X1245","ENSMUSG00000100361",45519774,45520754,981,"-",0,"overlapStart",0,"Gm7063",NA
"69","chr1",45772790,45773190,401,"*","chr1_45772790_45773190","X1259","ENSMUSG00000087764",45772962,45773164,203,"+",0,"includeFeature",0,"Gm23984",NA
"70","chr1",45857427,45857827,401,"*","chr1_45857427_45857827","X1262","ENSMUSG00000084817",45857332,45857754,423,"-",0,"overlapStart",0,"Gm5526",NA
"71","chr1",46011913,46012313,401,"*","chr1_46011913_46012313","X1264","ENSMUSG00000090682",46011757,46012020,264,"-",0,"overlapStart",0,"Gm3852",NA
"72","chr1",47752415,47752815,401,"*","chr1_47752415_47752815","X1292","ENSMUSG00000088017",47751299,47751568,270,"-",846,"upstream",846,"Gm23829",NA
"73","chr1",51318272,51318672,401,"*","chr1_51318272_51318672","X1363","ENSMUSG00000099741",51317528,51318552,1025,"-",0,"overlapStart",0,"Gm5253","383504"
"74","chr1",51459289,51459689,401,"*","chr1_51459289_51459689","X1367","ENSMUSG00000101702",51457932,51458931,1000,"-",357,"upstream",357,"1700072G22Rik",NA
"75","chr1",51879231,51879631,401,"*","chr1_51879231_51879631","X1377","ENSMUSG00000100313",51877110,51879608,2499,"-",0,"overlapStart",0,"Gm28323",NA
"76","chr1",51940777,51941177,401,"*","chr1_51940777_51941177","X1381","ENSMUSG00000099135",51938974,51939095,122,"-",1681,"upstream",1681,"Gm27607",NA
"77","chr1",52137220,52137620,401,"*","chr1_52137220_52137620","X1388","ENSMUSG00000099569",52134443,52135330,888,"-",1889,"upstream",1889,"Gm18301","100416883"
"78","chr1",52288700,52289100,401,"*","chr1_52288700_52289100","X1389","ENSMUSG00000099648",52287697,52289095,1399,"-",0,"overlapStart",0,"Gm5975","546735"
"79","chr1",53388737,53389137,401,"*","chr1_53388737_53389137","X1412","ENSMUSG00000100069",53390415,53392585,2171,"+",1277,"upstream",1277,"Gm6801",NA
"80","chr1",55224025,55224425,401,"*","chr1_55224025_55224425","X1474","ENSMUSG00000097649",55226251,55235622,9372,"+",1825,"upstream",1825,"Gm10561","628004"
"81","chr1",55235162,55235562,401,"*","chr1_55235162_55235562","X1475","ENSMUSG00000046994",55237177,55248470,11294,"+",1614,"upstream",1614,"Mars2","212679"
"82","chr1",55340983,55341383,401,"*","chr1_55340983_55341383","X1477","ENSMUSG00000100030",55300069,55340589,40521,"-",393,"upstream",393,"",NA
"83","chr1",55439268,55439668,401,"*","chr1_55439268_55439668","X1479","ENSMUSG00000102145",55440904,55445930,5027,"+",1235,"upstream",1235,"RP23-453N3.4",NA
"84","chr1",55444797,55445197,401,"*","chr1_55444797_55445197","X1480","ENSMUSG00000100309",55444074,55445024,951,"-",0,"overlapStart",0,"Gm6644",NA
"85","chr1",55446307,55446707,401,"*","chr1_55446307_55446707","X1481","ENSMUSG00000100309",55444074,55445024,951,"-",1282,"upstream",1282,"Gm6644",NA
"86","chr1",56969753,56970153,401,"*","chr1_56969753_56970153","X1502","ENSMUSG00000087022",56971412,57050084,78673,"+",1258,"upstream",1258,"9130024F11Rik","329160;102636041"
"87","chr1",57125284,57125684,401,"*","chr1_57125284_57125684","X1510","ENSMUSG00000099945",57127340,57129400,2061,"+",1655,"upstream",1655,"1700126A01Rik",NA
"88","chr1",57293324,57293724,401,"*","chr1_57293324_57293724","X1516","ENSMUSG00000101129",57291425,57292401,977,"-",922,"upstream",922,"Gm5254",NA
"89","chr1",57519155,57519555,401,"*","chr1_57519155_57519555","X1523","ENSMUSG00000101826",57518523,57519412,890,"-",0,"overlapStart",0,"Gm8581","667339"
"90","chr1",57523278,57523678,401,"*","chr1_57523278_57523678","X1524","ENSMUSG00000102685",57520831,57523642,2812,"-",0,"overlapStart",0,"RP23-433B11.1",NA
"91","chr1",57564271,57564671,401,"*","chr1_57564271_57564671","X1527","ENSMUSG00000101151",57561298,57564051,2754,"-",219,"upstream",219,"Gm17929",NA
"92","chr1",58278118,58278518,401,"*","chr1_58278118_58278518","X1560","ENSMUSG00000079554",58278326,58380259,101934,"+",0,"overlapStart",0,"Aox2","213043"
"93","chr1",58795426,58795826,401,"*","chr1_58795426_58795826","X1582","ENSMUSG00000102719",58797783,58801623,3841,"+",1956,"upstream",1956,"RP24-273P12.4",NA
"94","chr1",59094620,59095020,401,"*","chr1_59094620_59095020","X1594","ENSMUSG00000072295",59050506,59094900,44395,"-",0,"overlapStart",0,"Als2cr11","73463"
"95","chr1",59148670,59149070,401,"*","chr1_59148670_59149070","X1597","ENSMUSG00000101586",59151047,59169320,18274,"+",1976,"upstream",1976,"Gm29017",NA
"96","chr1",59256715,59257115,401,"*","chr1_59256715_59257115","X1602","ENSMUSG00000026023",59256906,59352993,96088,"+",0,"overlapStart",0,"Cdk15","271697"
"97","chr1",59450880,59451280,401,"*","chr1_59450880_59451280","X1616","ENSMUSG00000104502",59447865,59449502,1638,"-",1377,"upstream",1377,"RP24-149E13.2",NA
"98","chr1",60117130,60117530,401,"*","chr1_60117130_60117530","X1637","ENSMUSG00000082609",60117255,60117685,431,"+",0,"overlapStart",0,"Gm15464","100504573"
"99","chr1",60900877,60901277,401,"*","chr1_60900877_60901277","X1649","ENSMUSG00000081382",60900898,60901422,525,"+",0,"overlapStart",0,"Rpl18-ps1","667100"
"100","chr1",61301319,61301719,401,"*","chr1_61301319_61301719","X1660","ENSMUSG00000085248",61301909,61307746,5838,"+",189,"upstream",189,"Gm11587",NA
"101","chr1",61803188,61803588,401,"*","chr1_61803188_61803588","X1677","ENSMUSG00000103002",61805221,61806140,920,"+",1632,"upstream",1632,"RP23-327M13.6",NA
"102","chr1",63031613,63032013,401,"*","chr1_63031613_63032013","X1715","ENSMUSG00000088953",63032706,63032819,114,"+",692,"upstream",692,"Gm24942","115485806"
"103","chr1",63200224,63200624,401,"*","chr1_63200224_63200624","X1721","ENSMUSG00000086730",63200313,63207967,7655,"+",0,"overlapStart",0,"Gm11607",NA
"104","chr1",63216476,63216876,401,"*","chr1_63216476_63216876","X1722","ENSMUSG00000046856",63182691,63214543,31853,"-",1932,"upstream",1932,"Gpr1","241070"
"105","chr1",64994420,64994820,401,"*","chr1_64994420_64994820","X1767","ENSMUSG00000084416",64993951,64994604,654,"-",0,"overlapStart",0,"Rpl10a-ps1","100043141"
"106","chr1",65027894,65028294,401,"*","chr1_65027894_65028294","X1769","ENSMUSG00000090042",65028080,65028732,653,"+",0,"overlapStart",0,"Gm8550",NA
"107","chr1",65050763,65051163,401,"*","chr1_65050763_65051163","X1771","ENSMUSG00000070870",65048554,65051149,2596,"-",0,"overlapStart",0,"Cryge","12968"
"108","chr1",65063065,65063465,401,"*","chr1_65063065_65063465","X1772","ENSMUSG00000067299",65061872,65063452,1581,"-",0,"overlapStart",0,"Crygd","12967"
"109","chr1",65103011,65103411,401,"*","chr1_65103011_65103411","X1775","ENSMUSG00000044429",65100389,65103373,2985,"-",0,"overlapStart",0,"Cryga","12964"
"110","chr1",65104650,65105050,401,"*","chr1_65104650_65105050","X1776","ENSMUSG00000044429",65100389,65103373,2985,"-",1276,"upstream",1276,"Cryga","12964"
"111","chr1",65550447,65550847,401,"*","chr1_65550447_65550847","X1790","ENSMUSG00000082774",65552682,65552994,313,"+",1834,"upstream",1834,"Gm8805",NA
"112","chr1",65552564,65552964,401,"*","chr1_65552564_65552964","X1791","ENSMUSG00000082774",65552682,65552994,313,"+",0,"overlapStart",0,"Gm8805",NA
"113","chr1",65552564,65552964,401,"*","chr1_65552564_65552964","X1791","ENSMUSG00000082565",65550464,65551237,774,"-",1326,"upstream",1326,"Gm5255","383520"
"114","chr1",65926506,65926906,401,"*","chr1_65926506_65926906","X1800","ENSMUSG00000025945",65926520,65928307,1788,"+",0,"overlapStart",0,"Crygf","12969"
"115","chr1",66032557,66032957,401,"*","chr1_66032557_66032957","X1803","ENSMUSG00000083242",66033085,66033425,341,"+",127,"upstream",127,"Gm15659",NA
"116","chr1",66032557,66032957,401,"*","chr1_66032557_66032957","X1803","ENSMUSG00000081623",66032183,66032925,743,"-",0,"overlapStart",0,"Gm8809",NA
"117","chr1",69108446,69108846,401,"*","chr1_69108446_69108846","X1846","ENSMUSG00000062209",68032186,69108059,1075874,"-",386,"upstream",386,"Erbb4","13869"
"118","chr1",69377263,69377663,401,"*","chr1_69377263_69377663","X1852","ENSMUSG00000101387",69377321,69378071,751,"+",0,"overlapStart",0,"Pced1c-ps",NA
"119","chr1",69826802,69827202,401,"*","chr1_69826802_69827202","X1859","ENSMUSG00000053153",69826970,70725132,898163,"+",0,"overlapStart",0,"Spag16","66722"
"120","chr1",71493706,71494106,401,"*","chr1_71493706_71494106","X1885","ENSMUSG00000101617",71493737,71493814,78,"-",0,"includeFeature",0,"Gm6947",NA
"121","chr1",71887910,71888310,401,"*","chr1_71887910_71888310","X1901","ENSMUSG00000099707",71888112,71891204,3093,"+",0,"overlapStart",0,"Gm8883","667931"
"122","chr1",72122125,72122525,401,"*","chr1_72122125_72122525","X1910","ENSMUSG00000102123",72107155,72122001,14847,"-",123,"upstream",123,"Gm4319",NA
"123","chr1",72282195,72282595,401,"*","chr1_72282195_72282595","X1919","ENSMUSG00000026188",72284369,72303104,18736,"+",1773,"upstream",1773,"Tmem169","271711"
"124","chr1",72700447,72700847,401,"*","chr1_72700447_72700847","X1942","ENSMUSG00000039342",72642980,72700564,57585,"-",0,"overlapStart",0,"Ankar","319695"
"125","chr1",73015628,73016028,401,"*","chr1_73015628_73016028","X1960","ENSMUSG00000026182",73015074,73015909,836,"-",0,"overlapStart",0,"Tnp1","21958"
"126","chr1",73528261,73528661,401,"*","chr1_73528261_73528661","X1981","ENSMUSG00000100429",73528937,73536349,7413,"+",275,"upstream",275,"Gm29186",NA
"127","chr1",73531372,73531772,401,"*","chr1_73531372_73531772","X1982","ENSMUSG00000100444",73522095,73529790,7696,"-",1581,"upstream",1581,"C530043A13Rik",NA
"128","chr1",74153618,74154018,401,"*","chr1_74153618_74154018","X2000","ENSMUSG00000026180",74153989,74161246,7258,"+",0,"overlapStart",0,"Cxcr2","12765"
"129","chr1",74408718,74409118,401,"*","chr1_74408718_74409118","X2008","ENSMUSG00000026175",74409376,74435559,26184,"+",257,"upstream",257,"Vil1","22349"
"130","chr1",75209052,75209452,401,"*","chr1_75209052_75209452","X2040","ENSMUSG00000026201",75210838,75215606,4769,"+",1385,"upstream",1385,"Stk16","20872"
"131","chr1",75231740,75232140,401,"*","chr1_75231740_75232140","X2041","ENSMUSG00000096094",75220095,75232102,12008,"-",0,"overlapStart",0,"A630095N17Rik","381272"
"132","chr1",78614100,78614500,401,"*","chr1_78614100_78614500","X2137","ENSMUSG00000100562",78615467,78620165,4699,"+",966,"upstream",966,"Gm29611","108167629"
"133","chr1",79673337,79673737,401,"*","chr1_79673337_79673737","X2167","ENSMUSG00000054702",79606876,79671972,65097,"-",1364,"upstream",1364,"Ap1s3","252903"
"134","chr1",80224790,80225190,401,"*","chr1_80224790_80225190","X2197","ENSMUSG00000101257",80225044,80228792,3749,"+",0,"overlapStart",0,"2310015K22Rik",NA
"135","chr1",82586795,82587195,401,"*","chr1_82586795_82587195","X2242","ENSMUSG00000079465",82586921,82722059,135139,"+",0,"overlapStart",0,"Col4a3","12828"
"136","chr1",82586795,82587195,401,"*","chr1_82586795_82587195","X2242","ENSMUSG00000067158",82448423,82586849,138427,"-",0,"overlapStart",0,"Col4a4","12829"
"137","chr1",82809070,82809470,401,"*","chr1_82809070_82809470","X2253","ENSMUSG00000102280",82806423,82807468,1046,"-",1601,"upstream",1601,"RP23-404A6.5",NA
"138","chr1",82819295,82819695,401,"*","chr1_82819295_82819695","X2254","ENSMUSG00000100170",82819835,82820377,543,"+",139,"upstream",139,"Gm28942",NA
"139","chr1",83058924,83059324,401,"*","chr1_83058924_83059324","X2268","ENSMUSG00000101315",83060930,83061921,992,"+",1605,"upstream",1605,"Krtap28-13","71386"
"140","chr1",83214159,83214559,401,"*","chr1_83214159_83214559","X2275","ENSMUSG00000101896",83212044,83212884,841,"-",1274,"upstream",1274,"Gm6244","621614"
"141","chr1",85763272,85763672,401,"*","chr1_85763272_85763672","X2313","ENSMUSG00000094834",85763794,85763871,78,"+",121,"upstream",121,"Gm25472",NA
"142","chr1",87035674,87036074,401,"*","chr1_87035674_87036074","X2356","ENSMUSG00000103984",87036723,87039650,2928,"+",648,"upstream",648,"RP24-286D13.3",NA
"143","chr1",87182552,87182952,401,"*","chr1_87182552_87182952","X2360","ENSMUSG00000036480",87183313,87188405,5093,"+",360,"upstream",360,"Prss56","69453"
"144","chr1",87249666,87250066,401,"*","chr1_87249666_87250066","X2363","ENSMUSG00000088318",87251148,87251248,101,"+",1081,"upstream",1081,"Gm26187","115487620"
"145","chr1",87573536,87573936,401,"*","chr1_87573536_87573936","X2372","ENSMUSG00000026259",87476834,87573870,97037,"-",0,"overlapStart",0,"Ngef","53972"
"146","chr1",87574872,87575272,401,"*","chr1_87574872_87575272","X2373","ENSMUSG00000026259",87476834,87573870,97037,"-",1001,"upstream",1001,"Ngef","53972"
"147","chr1",87620254,87620654,401,"*","chr1_87620254_87620654","X2376","ENSMUSG00000026288",87620312,87720507,100196,"+",0,"overlapStart",0,"Inpp5d","16331"
"148","chr1",88153484,88153884,401,"*","chr1_88153484_88153884","X2386","ENSMUSG00000082677",88153788,88154571,784,"+",0,"overlapStart",0,"Gm15371","100418107"
"149","chr1",88165895,88166295,401,"*","chr1_88165895_88166295","X2387","ENSMUSG00000089943",88166012,88218997,52986,"+",0,"overlapStart",0,"Ugt1a5","394433"
"150","chr1",88191787,88192187,401,"*","chr1_88191787_88192187","X2388","ENSMUSG00000083277",88191901,88192683,783,"+",0,"overlapStart",0,"Gm15376","100418109"
"151","chr1",88200284,88200684,401,"*","chr1_88200284_88200684","X2389","ENSMUSG00000090171",88200601,88218997,18397,"+",0,"overlapStart",0,"Ugt1a2","22236"
"152","chr1",88551388,88551788,401,"*","chr1_88551388_88551788","X2404","ENSMUSG00000100798",88551517,88562167,10651,"+",0,"overlapStart",0,"Gm19589","100503197"
"153","chr1",88655142,88655542,401,"*","chr1_88655142_88655542","X2413","ENSMUSG00000100367",88656308,88658100,1793,"+",765,"upstream",765,"Gm29336",NA
"154","chr1",88722468,88722868,401,"*","chr1_88722468_88722868","X2416","ENSMUSG00000101736",88722366,88722824,459,"-",0,"overlapStart",0,"Gm29335",NA
"155","chr1",89095720,89096120,401,"*","chr1_89095720_89096120","X2431","ENSMUSG00000102700",89097073,89098818,1746,"+",952,"upstream",952,"RP24-396E16.1",NA
"156","chr1",89358041,89358441,401,"*","chr1_89358041_89358441","X2446","ENSMUSG00000101288",89302719,89358144,55426,"-",0,"overlapStart",0,"Gm28342",NA
"157","chr1",90202326,90202726,401,"*","chr1_90202326_90202726","X2488","ENSMUSG00000044337",90203980,90216751,12772,"+",1253,"upstream",1253,"Ackr3","12778"
"158","chr1",90325535,90325935,401,"*","chr1_90325535_90325935","X2493","ENSMUSG00000098368",90327312,90327418,107,"+",1376,"upstream",1376,"Gm27648",NA
"159","chr1",90951606,90952006,401,"*","chr1_90951606_90952006","X2526","ENSMUSG00000090550",90953108,90954027,920,"+",1101,"upstream",1101,"Prlh","623503"
"160","chr1",90975192,90975592,401,"*","chr1_90975192_90975592","X2528","ENSMUSG00000100791",90974459,90975260,802,"-",0,"overlapStart",0,"Gm28199",NA
"161","chr1",91144874,91145274,401,"*","chr1_91144874_91145274","X2535","ENSMUSG00000070732",91145089,91170795,25707,"+",0,"overlapStart",0,"Rbm44","329207"
"162","chr1",91173578,91173978,401,"*","chr1_91173578_91173978","X2537","ENSMUSG00000100018",91171429,91172148,720,"-",1429,"upstream",1429,"Gm7776","665766"
"163","chr1",91405662,91406062,401,"*","chr1_91405662_91406062","X2542","ENSMUSG00000100253",91404879,91406029,1151,"-",0,"overlapStart",0,"1700020N18Rik","67086"
"164","chr1",91802613,91803013,401,"*","chr1_91802613_91803013","X2563","ENSMUSG00000100980",91798528,91802937,4410,"-",0,"overlapStart",0,"Gm29100",NA
"165","chr1",92322592,92322992,401,"*","chr1_92322592_92322992","X2585","ENSMUSG00000101265",92324510,92329888,5379,"+",1517,"upstream",1517,"Gm29099",NA
