JLDY037E	JLDY037F	JLDY037G	JLDY037I	JLDY037J	JLDY037K
chr1_9401732_9402132	7	14	8	12	14	16
chr1_9407803_9408203	16	23	17	30	22	8
chr1_9409714_9410114	15	21	16	18	10	18
chr1_9419859_9420259	15	19	9	24	15	21
chr1_9448862_9449262	11	23	16	26	17	23
chr1_9469334_9469734	18	28	10	28	20	19
chr1_9474929_9475329	14	13	18	24	14	11
chr1_9478371_9478771	11	18	13	22	4	11
chr1_9482882_9483282	15	12	14	20	17	16
chr1_9506502_9506902	12	18	16	19	7	17
chr1_9515294_9515694	11	10	16	22	9	14
chr1_9536154_9536554	21	26	16	34	20	16
chr1_9537037_9537437	13	19	8	14	12	15
chr1_9545943_9546343	29	97	18	38	29	24
chr1_9557170_9557570	7	22	18	8	7	6
chr1_9613477_9613877	14	26	11	20	7	14
chr1_9648951_9649351	16	24	19	33	16	24
chr1_9699706_9700106	4	21	6	16	10	4
chr1_9765301_9765701	12	22	13	24	11	22
chr1_9768570_9768970	13	29	10	33	15	20
chr1_9769999_9770399	12	13	6	25	18	17
chr1_9788545_9788945	10	20	6	21	6	12
chr1_9795395_9795795	5	21	10	17	9	7
chr1_9857695_9858095	19	15	16	19	22	15
chr1_9901762_9902162	10	23	10	19	9	11
chr1_9962264_9962664	21	18	13	20	13	15
chr1_9963867_9964267	12	23	12	22	8	10
chr1_9968973_9969373	6	23	5	14	19	8
chr1_9997747_9998147	11	29	6	20	11	13
chr1_9998932_9999332	13	20	14	20	11	18
chr1_10008778_10009178	8	14	3	20	10	16
chr1_10016187_10016587	13	28	17	23	10	18
chr1_10024114_10024514	14	13	20	13	11	14
chr1_10085746_10086146	8	17	8	21	14	9
chr1_10239153_10239553	12	25	10	28	20	18
chr1_10304296_10304696	14	26	14	27	14	20
chr1_10345073_10345473	18	21	18	18	20	23
chr1_10369216_10369616	15	27	15	31	11	14
chr1_10382741_10383141	20	33	12	24	16	23
chr1_10427664_10428064	13	22	4	19	10	11
chr1_10514475_10514875	12	19	13	19	17	18
chr1_10534743_10535143	6	17	6	23	11	19
chr1_10646038_10646438	5	22	19	20	17	11
chr1_10695145_10695545	24	40	21	34	18	31
chr1_10736703_10737103	13	18	14	23	10	18
chr1_10750714_10751114	12	17	14	16	11	16
chr1_10792675_10793075	15	21	14	20	9	24
chr1_10805415_10805815	17	24	17	39	16	23
chr1_10863370_10863770	16	18	12	27	10	13
chr1_10868785_10869185	20	17	14	28	14	24
chr1_10918052_10918452	12	21	18	19	17	20
chr1_10924623_10925023	12	25	13	24	15	16
chr1_10932953_10933353	12	19	22	12	9	15
chr1_10933866_10934266	13	23	13	18	15	15
chr1_10970616_10971016	18	27	6	23	16	12
chr1_10981671_10982071	14	14	10	19	14	13
chr1_10988647_10989047	15	23	16	21	15	16
chr1_11235062_11235462	13	29	7	22	14	14
chr1_11295454_11295854	13	23	15	23	9	18
chr1_11327627_11328027	15	20	11	17	15	11
chr1_11329465_11329865	13	28	24	26	14	19
chr1_11367677_11368077	17	19	18	22	14	12
chr1_11369649_11370049	22	20	14	21	18	13
chr1_11378296_11378696	16	23	15	24	15	22
chr1_11461948_11462348	20	24	11	13	11	10
chr1_11487662_11488062	16	26	23	26	20	21
chr1_11534701_11535101	24	27	18	26	15	11
chr1_11709187_11709587	12	17	11	31	18	22
chr1_11805312_11805712	14	21	13	20	16	22
chr1_11818856_11819256	12	22	6	26	18	5
chr1_11853563_11853963	13	23	7	20	13	11
chr1_11871359_11871759	15	19	7	17	22	11
chr1_11873524_11873924	11	16	8	22	8	15
chr1_11946530_11946930	10	17	4	15	2	5
chr1_12041698_12042098	17	22	9	17	8	10
chr1_12064900_12065300	13	9	9	14	8	15
chr1_12110959_12111359	18	24	14	18	14	17
chr1_12161480_12161880	15	22	17	9	6	8
chr1_12170596_12170996	15	23	12	27	18	13
chr1_12217138_12217538	12	25	10	15	15	11
chr1_12238112_12238512	9	19	4	21	10	12
chr1_12348702_12349102	9	5	9	16	8	12
chr1_12422665_12423065	13	16	10	18	11	12
chr1_12440172_12440572	16	29	10	26	16	13
chr1_12457693_12458093	6	23	9	13	16	11
chr1_12498544_12498944	12	18	15	16	7	14
chr1_12512650_12513050	17	19	10	22	16	12
chr1_12566016_12566416	17	29	11	26	16	15
chr1_12584333_12584733	19	20	12	13	3	13
chr1_12641086_12641486	16	18	15	30	10	22
chr1_12657432_12657832	31	36	27	49	31	28
chr1_12707616_12708016	13	23	13	25	16	22
chr1_12711609_12712009	12	17	12	18	22	12
chr1_12772583_12772983	18	22	10	17	9	6
chr1_12785308_12785708	13	23	15	30	12	13
chr1_12791832_12792232	12	23	10	25	17	16
chr1_12808284_12808684	19	25	18	28	18	21
chr1_12813931_12814331	7	22	17	23	13	14
chr1_12825523_12825923	11	24	7	12	4	15
chr1_12859227_12859627	8	27	11	31	16	13
chr1_12865002_12865402	14	23	8	13	18	17
chr1_12871887_12872287	20	19	14	25	9	16
chr1_12930571_12930971	22	26	14	26	12	9
chr1_12940250_12940650	17	11	13	18	13	19
chr1_12976964_12977364	14	26	15	19	4	9
chr1_12985067_12985467	18	24	13	24	16	17
chr1_12990734_12991134	12	26	8	26	14	22
chr1_13029170_13029570	28	34	20	31	22	32
chr1_13047574_13047974	19	9	16	25	10	10
chr1_13054516_13054916	23	18	23	27	9	20
chr1_13067550_13067950	22	23	19	31	22	13
chr1_13076388_13076788	20	23	20	31	18	26
chr1_13082682_13083082	21	16	12	25	24	14
chr1_13090684_13091084	18	25	15	22	13	7
chr1_13107188_13107588	12	9	22	21	17	8
chr1_13113983_13114383	18	32	15	31	18	18
chr1_13133466_13133866	22	30	16	30	19	19
chr1_13174641_13175041	21	27	12	31	14	14
chr1_13191721_13192121	19	29	18	21	17	12
chr1_13222493_13222893	12	24	16	20	15	21
chr1_13253505_13253905	16	14	11	18	6	15
chr1_13324774_13325174	15	14	12	26	12	19
chr1_13384959_13385359	19	32	12	24	18	18
chr1_13426609_13427009	22	12	9	27	9	7
chr1_13434927_13435327	12	15	9	26	12	13
chr1_13441621_13442021	17	24	9	17	17	14
chr1_13457632_13458032	11	19	12	23	14	13
chr1_13459516_13459916	9	15	17	18	13	16
chr1_13465320_13465720	17	24	13	19	15	15
chr1_13472557_13472957	14	27	17	20	20	11
chr1_13487946_13488346	29	34	19	29	24	29
chr1_13502931_13503331	13	16	8	25	20	18
chr1_13506666_13507066	10	21	13	21	10	14
chr1_13513886_13514286	19	35	11	37	20	13
chr1_13525683_13526083	17	22	14	28	12	15
chr1_13533134_13533534	18	26	15	29	22	36
chr1_13542658_13543058	24	25	17	16	9	19
chr1_13544040_13544440	10	20	12	24	20	15
chr1_13576643_13577043	12	27	8	28	15	11
chr1_13597441_13597841	8	12	4	11	13	18
chr1_13614699_13615099	5	23	14	9	6	12
chr1_13619387_13619787	15	25	16	35	22	23
chr1_13621764_13622164	11	29	13	14	6	14
chr1_13632681_13633081	27	25	12	24	15	18
chr1_13639075_13639475	8	7	17	16	12	18
chr1_13647971_13648371	6	11	12	18	13	14
chr1_13649867_13650267	15	15	16	28	17	11
chr1_13662033_13662433	10	20	7	23	9	17
chr1_13683067_13683467	8	21	7	20	14	9
chr1_13727776_13728176	9	22	13	22	12	7
chr1_13747490_13747890	17	27	14	22	16	21
chr1_13770122_13770522	14	21	10	18	17	12
chr1_13773088_13773488	16	26	13	30	13	12
chr1_13785672_13786072	19	15	14	21	16	18
chr1_13803361_13803761	12	19	10	21	11	11
chr1_13814826_13815226	12	24	6	17	10	22
chr1_13820234_13820634	28	35	16	16	21	9
chr1_13848520_13848920	19	21	10	29	16	18
chr1_13897137_13897537	23	21	15	34	12	17
chr1_13940766_13941166	21	22	11	26	9	14
chr1_13960854_13961254	12	20	16	17	9	7
chr1_13962868_13963268	18	23	10	17	7	5
chr1_13993700_13994100	18	15	15	23	6	12
chr1_14033944_14034344	11	29	13	25	15	7
chr1_14102326_14102726	15	22	12	19	9	15
chr1_14123232_14123632	13	23	18	21	17	10
chr1_14188899_14189299	14	18	11	28	18	19
chr1_14239166_14239566	16	29	13	37	21	22
chr1_14277227_14277627	18	26	13	26	12	11
chr1_14288210_14288610	11	20	15	21	8	7
chr1_14363183_14363583	24	23	11	25	17	27
chr1_14441135_14441535	12	25	12	18	13	20
chr1_14442424_14442824	15	22	14	32	11	9
chr1_14498119_14498519	13	31	12	28	8	17
chr1_14506722_14507122	13	20	5	18	8	21
chr1_14547812_14548212	20	27	15	25	5	13
chr1_14589921_14590321	12	20	15	11	8	17
chr1_14631991_14632391	11	18	13	17	5	6
chr1_14655973_14656373	11	27	11	25	17	18
chr1_14696314_14696714	8	20	12	22	8	13
chr1_14739501_14739901	12	18	12	21	10	17
chr1_14742640_14743040	11	24	13	17	16	13
chr1_14753804_14754204	16	27	12	24	14	19
chr1_14819605_14820005	12	24	11	14	15	10
chr1_14994574_14994974	18	24	14	30	17	18
chr1_15017926_15018326	12	29	7	27	22	22
chr1_15072591_15072991	19	28	12	16	10	8
chr1_15074562_15074962	15	23	11	28	14	16
chr1_15080176_15080576	10	22	7	20	12	17
chr1_15081512_15081912	12	17	6	18	9	10
chr1_15095682_15096082	15	24	19	18	15	16
chr1_15107107_15107507	12	16	18	28	9	13
chr1_15136098_15136498	6	29	16	29	22	19
chr1_15172735_15173135	10	8	19	24	10	14
chr1_15201484_15201884	13	18	9	14	18	7
chr1_15234608_15235008	9	18	17	14	3	8
chr1_15256479_15256879	14	24	11	27	26	22
chr1_15269513_15269913	17	18	18	17	5	17
chr1_15312512_15312912	11	14	17	22	14	14
chr1_15456247_15456647	9	19	4	22	9	7
chr1_15461884_15462284	26	25	14	32	13	16
chr1_15515931_15516331	13	23	14	23	15	18
chr1_15529626_15530026	19	25	7	34	28	18
chr1_15651715_15652115	12	22	7	13	14	10
chr1_15659797_15660197	15	27	5	25	10	10
chr1_15685199_15685599	22	20	8	19	9	20
chr1_15710783_15711183	11	18	16	23	9	19
chr1_15746028_15746428	12	21	12	20	10	5
chr1_15758805_15759205	14	21	13	23	21	16
chr1_15768969_15769369	13	23	7	24	5	12
chr1_15862129_15862529	12	27	12	30	12	14
chr1_15873593_15873993	14	19	14	31	11	16
chr1_15883566_15883966	16	31	19	18	19	14
chr1_15901573_15901973	11	26	15	17	12	9
chr1_15926536_15926936	14	8	9	16	9	11
chr1_15955901_15956301	11	21	5	27	25	10
chr1_15968603_15969003	17	15	10	16	16	18
chr1_16028911_16029311	19	25	24	22	14	16
chr1_16036279_16036679	15	26	13	20	10	12
chr1_16114771_16115171	15	16	3	20	16	16
chr1_16119320_16119720	5	17	14	19	11	7
chr1_16139153_16139553	15	24	3	20	11	13
chr1_16148859_16149259	17	20	20	19	15	13
chr1_16162179_16162579	13	21	26	19	12	14
chr1_16169684_16170084	14	32	13	27	16	18
chr1_16184923_16185323	13	23	12	13	15	12
chr1_16186611_16187011	17	20	17	17	4	3
chr1_16213778_16214178	13	28	12	14	17	15
chr1_16249758_16250158	10	23	11	32	7	8
chr1_16268850_16269250	12	26	18	12	5	12
chr1_16291264_16291664	12	29	15	22	7	13
chr1_16313957_16314357	20	30	15	25	27	10
chr1_16371997_16372397	12	15	5	19	9	18
chr1_16431569_16431969	18	24	12	26	20	23
chr1_16469875_16470275	12	16	8	13	18	18
chr1_16496404_16496804	11	22	12	10	14	10
chr1_16505528_16505928	14	23	16	24	15	13
chr1_16534097_16534497	14	23	15	15	17	15
chr1_16603868_16604268	8	20	11	21	10	22
chr1_16695042_16695442	17	27	11	25	9	12
chr1_16702164_16702564	11	16	11	17	11	9
chr1_16713301_16713701	21	18	15	22	19	12
chr1_16720789_16721189	19	22	16	20	4	19
chr1_16723763_16724163	23	15	15	24	17	9
chr1_16728106_16728506	11	23	12	16	19	9
chr1_16745211_16745611	7	20	11	26	15	14
chr1_16749502_16749902	26	32	15	24	15	17
chr1_16756493_16756893	20	25	11	23	14	16
chr1_16768692_16769092	12	23	17	27	16	17
chr1_16834723_16835123	11	15	3	12	12	17
chr1_16865189_16865589	14	19	8	24	18	10
chr1_16870970_16871370	19	13	11	21	7	9
chr1_16881419_16881819	15	18	18	26	9	15
chr1_16899572_16899972	7	22	15	25	5	6
chr1_17018098_17018498	21	20	16	32	17	25
chr1_17091694_17092094	18	25	12	30	16	20
chr1_17097038_17097438	15	25	18	13	13	19
chr1_17124541_17124941	11	20	11	18	15	17
chr1_17135254_17135654	21	15	18	21	11	6
chr1_17207384_17207784	11	21	15	15	7	13
chr1_17209356_17209756	9	21	8	10	14	8
chr1_17360980_17361380	12	25	11	23	12	13
chr1_17422615_17423015	9	18	6	23	6	9
chr1_17440962_17441362	7	34	10	21	16	12
chr1_17459675_17460075	19	12	6	22	17	12
chr1_17482892_17483292	14	28	18	35	13	21
chr1_17520690_17521090	19	15	7	23	13	18
chr1_17523531_17523931	14	32	20	28	17	12
chr1_17552676_17553076	12	25	9	25	17	17
chr1_17574822_17575222	19	32	20	21	21	13
chr1_17585659_17586059	10	15	8	22	9	20
chr1_17636049_17636449	10	25	11	16	10	15
chr1_17644530_17644930	9	21	9	17	15	16
chr1_17660886_17661286	7	22	7	21	11	13
chr1_17666563_17666963	8	21	13	17	16	11
chr1_17685978_17686378	14	20	7	13	13	8
chr1_17693065_17693465	18	21	18	30	7	13
chr1_17727433_17727833	14	9	8	22	10	21
chr1_17737790_17738190	9	10	7	18	11	16
chr1_17789096_17789496	12	22	10	32	12	26
chr1_17903731_17904131	12	17	17	34	11	25
chr1_17941002_17941402	17	34	9	23	20	10
chr1_17953155_17953555	15	27	17	17	20	13
chr1_17956844_17957244	26	24	21	40	21	22
chr1_18041316_18041716	11	27	6	25	14	16
chr1_18047696_18048096	18	16	8	28	17	17
chr1_18058020_18058420	7	20	7	23	9	8
chr1_18073474_18073874	15	23	15	24	13	22
chr1_18078840_18079240	10	21	10	25	10	12
chr1_18089790_18090190	17	19	14	15	9	12
chr1_18093217_18093617	15	29	17	30	7	13
chr1_18107668_18108068	14	18	18	20	9	12
chr1_18159057_18159457	14	24	8	25	17	20
chr1_18254621_18255021	13	26	10	21	21	9
chr1_18323421_18323821	21	33	13	21	21	24
chr1_18324669_18325069	6	26	17	18	11	13
chr1_18343473_18343873	8	22	11	29	18	14
chr1_18408778_18409178	11	20	21	13	7	12
chr1_18472714_18473114	23	33	19	19	12	20
chr1_18492675_18493075	22	22	14	19	4	7
chr1_18531210_18531610	11	24	8	23	8	10
chr1_18649630_18650030	8	26	15	26	19	15
chr1_18681837_18682237	15	30	10	23	11	14
chr1_18742884_18743284	18	23	13	28	8	8
chr1_18760640_18761040	8	18	10	19	8	7
chr1_18773937_18774337	16	26	8	34	14	24
chr1_18919909_18920309	16	25	9	25	11	9
chr1_18968901_18969301	19	31	12	27	21	18
chr1_19006963_19007363	22	23	21	18	13	11
chr1_19094942_19095342	18	16	15	15	8	11
chr1_19140255_19140655	12	8	16	22	8	11
chr1_19153792_19154192	8	21	5	19	10	7
chr1_19184249_19184649	16	17	12	24	17	10
chr1_19192715_19193115	16	23	10	18	10	13
chr1_19218406_19218806	8	15	8	19	6	15
chr1_19236603_19237003	19	16	9	26	24	12
chr1_19258597_19258997	6	19	8	19	3	9
chr1_19260601_19261001	16	14	13	21	10	18
chr1_19266042_19266442	9	7	8	19	15	15
chr1_19300314_19300714	11	26	10	28	10	19
chr1_19331857_19332257	12	22	6	25	9	10
chr1_19332682_19333082	8	24	12	19	13	11
chr1_19361559_19361959	12	27	12	10	12	18
chr1_19398846_19399246	7	16	19	28	17	16
chr1_19449708_19450108	16	17	21	32	15	18
chr1_19497913_19498313	8	21	10	29	16	15
chr1_19504914_19505314	9	16	5	16	5	15
chr1_19522892_19523292	13	20	13	17	16	16
chr1_19565795_19566195	17	32	16	19	8	13
chr1_19622422_19622822	15	18	17	17	9	13
chr1_19652271_19652671	13	25	14	22	4	13
chr1_19656053_19656453	13	11	10	23	16	16
chr1_19707025_19707425	20	26	20	26	15	22
chr1_19745602_19746002	18	25	11	18	8	20
chr1_19778877_19779277	9	24	3	13	8	11
chr1_19814807_19815207	8	17	13	23	13	12
chr1_19899891_19900291	32	22	16	31	13	13
chr1_19967583_19967983	9	23	10	23	9	11
chr1_20028798_20029198	24	18	15	23	16	12
chr1_20044925_20045325	15	17	15	18	9	17
chr1_20091387_20091787	9	19	13	31	12	17
chr1_20102116_20102516	11	33	8	18	8	18
chr1_20403121_20403521	15	19	7	20	15	13
chr1_20413165_20413565	10	24	8	17	9	18
chr1_20428442_20428842	9	22	11	25	7	13
chr1_20462662_20463062	2	16	18	13	14	5
chr1_20541151_20541551	10	29	16	26	4	14
chr1_20552540_20552940	15	32	14	23	12	20
chr1_20648197_20648597	12	23	16	27	21	18
chr1_20658418_20658818	18	22	17	22	20	19
chr1_20705289_20705689	16	19	12	23	11	13
chr1_20714308_20714708	15	22	16	18	12	13
chr1_20743920_20744320	25	28	23	40	19	23
chr1_20753498_20753898	9	21	13	15	7	1
chr1_20770000_20770400	27	19	8	26	19	26
chr1_20786881_20787281	11	19	9	28	14	16
chr1_20803532_20803932	16	30	13	28	14	21
chr1_20804713_20805113	13	23	12	20	24	26
chr1_20812113_20812513	16	36	13	31	15	12
chr1_20879436_20879836	23	25	17	35	12	20
chr1_20898392_20898792	20	19	9	17	5	7
chr1_20914522_20914922	29	30	19	22	25	22
chr1_20934900_20935300	17	21	12	28	14	20
chr1_20936912_20937312	11	25	4	23	14	14
chr1_20961507_20961907	14	15	11	26	8	10
chr1_20967330_20967730	4	18	8	17	6	5
chr1_20985162_20985562	16	13	17	13	6	6
chr1_21024654_21025054	18	23	16	20	19	17
chr1_21032945_21033345	11	19	22	23	13	19
chr1_21042813_21043213	13	22	15	34	19	26
chr1_21044567_21044967	21	31	18	31	11	17
chr1_21053031_21053431	15	19	13	25	19	18
chr1_21059205_21059605	9	24	13	25	7	18
chr1_21065226_21065626	14	28	18	26	11	16
chr1_21089673_21090073	13	32	27	19	11	17
chr1_21097435_21097835	12	23	13	31	14	18
chr1_21141520_21141920	13	23	6	21	17	12
chr1_21146916_21147316	19	17	17	11	11	22
chr1_21162576_21162976	11	21	6	28	11	20
chr1_21173606_21174006	17	21	22	29	15	12
chr1_21192505_21192905	16	19	10	22	18	22
chr1_21194528_21194928	27	27	15	41	19	19
chr1_21208927_21209327	10	19	12	17	7	9
chr1_21229204_21229604	17	25	15	30	25	19
chr1_21262526_21262926	10	10	16	8	4	18
chr1_21268972_21269372	15	23	17	19	16	11
chr1_21283178_21283578	19	29	18	27	26	11
chr1_21363968_21364368	16	20	8	25	16	21
chr1_21402507_21402907	9	20	12	25	12	11
chr1_21456145_21456545	8	22	11	18	14	11
chr1_21588607_21589007	19	25	20	22	14	16
chr1_21625410_21625810	11	20	11	20	12	20
